0;Podatki;Minister finansów proponuje zwiększyć podatki.;Przyjmij;Odrzuć;10;10;10;10;20;20;20;20;
1;Zakupy;Generał chcę przeprowadzić ćwiczenia wojskowe przy granicy by pokazać obcym państwą siłę.;Przyjmij;Odrzuć;200;2;2;2;200;2;2;2;
2;Odkrycie;Nadworny alchemik twierdzi że dokonał istotnego odkrycia i potrzebuje dodatkowych środkó na jego rozwój.;Przyznaj;Odmów;200;2;2;2;200;2;2;2;
3;Pożar;W mieście wybuchł pożar. Dowódca straży pyta się co powinno być jego priorytetem;Ratowanie ludzi;Ochrona przed szabrownikami;200;2;2;2;200;2;2;2;
4;Defilada;Generał chciałby przeprowadzić przez stolicę defiladę by uczcić 10-lecie zwycięskiej bitwy.;Przynzaj środki;Odmów;200;2;2;2;200;2;2;2;
5;Kopalnia;Szyb królewskiej kopalni złota zapadł się, miażdżąc wszystkich w którzy byli w środku. Kierownik pyta się, czy mają kontynuować kopanie.;Tak! Potrzebujemy złota;Nie;200;2;2;2;200;2;2;2;
6;Nowy świat;Podróżnik twierdzi że odkrył nowy ląd. Chciałby dostać środki na przeprowadzenie ekspedycji.;Przyznaj;Odmów;200;2;2;2;200;2;2;2;
7;Gildia kupców;Gildia kupców wykorzysuje luki prawne by omijać podaki. Doradca uważa, że czas położyć temu kres.;Zgódź się;Odmów;200;2;2;2;200;2;2;2;
8;Straż miejska;Dowódca straży miejskiej skarży się na porblemy z znalezieniem nowych ochotników z powodu niskich pensji. W mieście jednak w dzień jest w miare bezpiecznie.;Zwiększ pensje;Odmów;200;2;2;2;200;2;2;2;
9;Zima;Tegoroczna zima jest bardzo sroga a letnie upały zniszczyły plony. Doradca zaleca otworzyć królewskie spichlerze.;Otwórz;Odmów;200;2;2;2;200;2;2;2;
10;Wiosna;Tegoroczna wiosna jest obwita w deszcze. Powodzie zalały sąsiednie księstwo. Doradca pyta się czy zezwolić na wpuszczenie uciekających imigrantów;Zezwól;Odmów;200;2;2;2;200;2;2;2;
11;Stal;Minister finansów proponuje aby w tym roku prześcignąć sąsiednie księtwa w produkcji stali.;Zgódź się;Odmów;200;2;2;2;200;2;2;2;
12;Tama;Poziom rzeki znów spadł prawie do zera. Doradca proponuje wybudowanie tamy;Przynznaj środki;Odmów;200;2;2;2;200;2;2;2;
12;Studia;Rektor uczelni twierdzi, że wiele młodych osób chciało by studiować, ale nie mają srodków na utrzymanie. Sugeruje wprowadzenie królewskich stypendii;Przyznajśrodki;Odmów;200;2;2;2;200;2;2;2;
13;Kup;Do portu przybył statek pod nieznaną banderą. Kapitan twierdzi, że jest zwykłym kupcem, ale Dowódca straży obawia sięże może być wrogim zwiadowcą lub szpiegiem;Przyjmij nieznajomego;Prewencyjnie powieś;200;2;2;2;200;2;2;2;
14;Biskup;Biskup prosi, by rodzina królewska wzięła udział w pielgrzymce.;Weź udział;Odmów;200;2;2;2;200;2;2;2;
15;Cła;Gildia kupców domaga się zmniejszenia cła.;Zgódź się;Odmów;200;2;2;2;200;2;2;2;
16;Służba zdrowia;Kościół nie ma wystarczających środków by utrzymać zakon szpitalny. Biskup potrzebuje dodatkowych środków.;Przyznaj;Odmów;200;2;2;2;200;2;2;2;
17;Ćwiczenia;Generałchciałby przeprowadzić ćwiczenia wojskowe, ale potrzebował by wydania dodatkowych racji głodnym żołnierzą.;Przyznaj;Odmów;200;2;2;2;200;2;2;2;
18;Eksplozja;W mieście nastąpił wybuch. Dowódca straży pyta się czy zamknąc bramy miasta i wprowadzić godzinę policyjną. Ograniczyło by to import;Zabezpiecz miasto;Pozostaw otwarte;200;2;2;2;200;2;2;2;
19;Festiwal;Według doradcy, lud podniosł by na duchu letni festiwal. Oczywiście takie wydarzenie wiąże się z wysokimi kosztami.;Zorganizuj;Odmów;200;2;2;2;200;2;2;2;
20;Pokój;Wrogie wojsko zostało rozbite i się poddało. Generał wojska chcę rozpocząc plądrowanie, królewski doradca jednak stanowczo odradza, bo źle by to wyglądało politycznie.;Plądruj;Podpisz rozejm;200;2;2;2;200;2;2;2;
21;Zbiory;Tegoroczne zbiory są strasznie małe. Doradca proponuje by nakazać wojsku pomóć chłopą by mieli co jeść w zimę;Pomóż;Odmów;200;2;2;2;200;2;2;2;
22;Gildia alchemików;Nadworny alchemik chciałby otworzyć w stolicy Gildie alchemików;Przyznaj środki;Odmów;200;2;2;2;200;2;2;2;
23;Mnisi;Na dwór przybyli mnisi. Oferują swoje lecznicze pasty i mikstury w zamian za zboże. Nadworny alchemik twierdzi, że może je odtworzyć, jeżeli dostanie próbki.;Zakup;Odmów;200;2;2;2;200;2;2;2;
24;Polowanie;Król z zaprzyjażnionego królestwa zaprasza cię na polowanie. Kto jednak zajmię się państwem pod twoją nieobecność;Weź udział;Odmów;200;2;2;2;200;2;2;2;
25;Niewolnictwo;Generał chcę zaprzągnąc jeńców wojennych do pracy, tak robią wszystkie inne państwa. Biskup prosi jednak o łąskę dla pojmanych.;Zgóź się z biskupem;Zgóź się z generałem;200;2;2;2;200;2;2;2;
26;Choroba;Generał zachorowałi nie może pełnić swoich obowiązków. Pułkowicy oczekują, że zajmiesz jego miejsce, jednak obiecałeś już swój udział w festiwalu naukowym.;Weź udział w festiwalu naukowym;Przejmij kontrole na wojskiem;200;2;2;2;200;2;2;2;
27;Przestępczość;Dowódca straży miejskiej doniósł raport o wzroście drobnej przestępczości w śród młodocianych. Doradca proponuje zwiększyć środki dla szkół by te uporały się z trudną młodzieżą.;Przyznaj;Odmów;200;2;2;2;200;2;2;2;
28;Drogi;Chłopi skarżą sięna jakość dróg, jednak poprawa ich stanu byłą by niezwykle kosztowna.;Przyznaj środki;Odmów;200;2;2;2;200;2;2;2;
29;Gildia kowali;Gildia kowali skarży się, że do królestwa importowane są wschodnie tanie wyroby. Domagają się zwiększenia cłą na import wyrobów żelaznych. Doradca zauważa, że takie zagrywki mogą spowodować wojnę ze wshcodem.;Zaryzykuj;Odmów;200;2;2;2;200;2;2;2;